,f2,prec,rec,f1,jac,dld
temp,50.61,69.80,47.36,56.43,39.31,15.77
cbr,66.49,75.57,64.55,69.63,53.41,17.99
mp,72.24,85.70,69.51,76.76,62.28,18.30
ent,94.15,80.27,98.40,88.42,79.24,13.72
hir,93.21,86.83,94.96,90.71,83.00,14.31
first,93.24,80.29,97.16,87.92,78.45,13.31
median,93.69,82.14,97.11,89.00,80.18,12.00
new_sys,106.95,80.47,116.53,95.20,90.84,12.88
imp_player_new_sys,107.87,79.15,118.63,94.95,90.39,13.36
imp_player_median,101.62,80.36,108.81,92.45,85.96,13.45
imp_player_median_weighted,89.04,76.12,92.98,83.71,71.99,11.53
imp_player_new_sys_cosine,108.36,79.21,119.34,95.22,90.88,13.32
imp_player_new_sys_bert,106.43,79.79,116.12,94.59,89.73,12.70
imp_player_new_sys_set_ftrs,106.69,78.91,117.00,94.25,89.12,12.88
