,f2,prec,rec,f1,dld
temp,25.52,37.81,23.60,29.06,6.09
cbr,32.15,47.30,29.76,36.54,15.55
ent,25.38,24.05,25.73,24.86,10.94
hir,32.76,34.45,32.37,33.38,11.27
mp,26.47,33.13,25.20,28.63,8.80
imp_players-num_ftrs-cosine_sim-long_reuse-pop,36.63,32.83,37.72,35.11,11.15
imp_players-set_ftrs-cosine_sim-long_reuse-pop,34.53,31.16,35.49,33.18,10.84
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted,35.00,30.71,36.27,33.26,10.39
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_5,33.94,32.96,34.20,33.57,8.92
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_10,33.94,32.96,34.20,33.57,8.92
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_20,33.94,32.96,34.20,33.57,8.92
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_25,33.94,32.96,34.20,33.57,8.92
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_30,33.94,32.96,34.20,33.57,8.92
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_5,34.53,31.16,35.49,33.18,10.84
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_10,34.53,31.16,35.49,33.18,10.84
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_20,34.53,31.16,35.49,33.18,10.84
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_25,34.53,31.16,35.49,33.18,10.84
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_30,34.53,31.16,35.49,33.18,10.84
imp_players-text_ftrs-cosine_sim-long_reuse-pop,37.00,33.15,38.11,35.46,11.38
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_5,37.00,33.15,38.11,35.46,11.38
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_10,37.00,33.15,38.11,35.46,11.38
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_20,37.00,33.15,38.11,35.46,11.38
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_25,37.00,33.15,38.11,35.46,11.38
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_30,37.00,33.15,38.11,35.46,11.38
imp_players-num_ftrs-cosine_sim-median_reuse-pop,33.98,34.72,33.80,34.26,11.68
imp_players-set_ftrs-cosine_sim-median_reuse-pop,32.87,34.87,32.41,33.59,11.52
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted,34.54,35.11,34.40,34.75,11.76
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_5,31.27,38.33,29.90,33.59,12.40
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_10,31.27,38.33,29.90,33.59,12.40
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_20,31.27,38.33,29.90,33.59,12.40
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_25,31.27,38.33,29.90,33.59,12.40
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_30,31.27,38.33,29.90,33.59,12.40
imp_players-set_ftrs-cosine_sim-median_reuse-pop-topk_5,32.87,34.87,32.41,33.59,11.52
