,f2,prec,rec,dld
temp,48.24,89.39,43.26,22.64
cbr,60.09,90.91,55.39,24.39
ent,54.05,60.27,52.70,16.85
hir,56.98,69.82,54.47,14.51
mp,49.90,78.98,45.70,18.49
imp_players-num_ftrs-cosine_sim-long_reuse-pop,62.76,61.62,63.05,12.07
imp_players-set_ftrs-cosine_sim-long_reuse-pop,60.72,60.62,60.74,12.06
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted,61.22,59.54,61.66,12.01
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_20,58.82,62.37,58.00,11.05
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_25,58.82,62.37,58.00,11.05
imp_players-set_ftrs-cosine_sim-long_reuse-pop-weighted-topk_30,58.82,62.37,58.00,11.05
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_20,60.72,60.62,60.74,12.06
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_25,60.72,60.62,60.74,12.06
imp_players-set_ftrs-cosine_sim-long_reuse-pop-topk_30,60.72,60.62,60.74,12.06
imp_players-text_ftrs-cosine_sim-long_reuse-pop,62.05,60.36,62.49,11.61
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_20,62.05,60.36,62.49,11.61
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_25,62.05,60.36,62.49,11.61
imp_players-text_ftrs-cosine_sim-long_reuse-pop-topk_30,62.05,60.36,62.49,11.61
imp_players-num_ftrs-cosine_sim-median_reuse-pop,59.63,65.42,58.34,12.14
imp_players-set_ftrs-cosine_sim-median_reuse-pop,57.88,67.42,55.90,12.65
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted,59.33,65.09,58.05,12.10
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_20,50.48,64.27,47.91,12.21
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_25,50.48,64.27,47.91,12.21
imp_players-set_ftrs-cosine_sim-median_reuse-pop-weighted-topk_30,50.48,64.27,47.91,12.21
imp_players-set_ftrs-cosine_sim-median_reuse-pop-topk_20,57.88,67.42,55.90,12.65
imp_players-set_ftrs-cosine_sim-median_reuse-pop-topk_25,57.88,67.42,55.90,12.65
imp_players-set_ftrs-cosine_sim-median_reuse-pop-topk_30,57.88,67.42,55.90,12.65
imp_players-text_ftrs-cosine_sim-median_reuse-pop,58.00,66.05,56.29,11.99
imp_players-text_ftrs-cosine_sim-median_reuse-pop-topk_20,58.00,66.05,56.29,11.99
imp_players-text_ftrs-cosine_sim-median_reuse-pop-topk_25,58.00,66.05,56.29,11.99
imp_players-text_ftrs-cosine_sim-median_reuse-pop-topk_30,58.00,66.05,56.29,11.99
imp_players-num_ftrs-cosine_sim-first_reuse-pop,57.63,63.50,56.32,12.87
imp_players-set_ftrs-cosine_sim-first_reuse-pop,55.34,64.68,53.41,13.23
imp_players-set_ftrs-cosine_sim-first_reuse-pop-weighted,56.01,61.84,54.72,12.85
imp_players-text_ftrs-cosine_sim-first_reuse-pop,55.75,62.32,54.32,12.42
imp_players-num_ftrs-euclidean_sim-long_reuse-pop,62.50,62.33,62.55,12.07
imp_players-set_ftrs-euclidean_sim-long_reuse-pop,62.38,62.49,62.36,11.56
imp_players-set_ftrs-euclidean_sim-long_reuse-pop-weighted,62.03,60.31,62.48,11.85
imp_players-text_ftrs-euclidean_sim-long_reuse-pop,62.10,60.43,62.53,11.62
imp_players-num_ftrs-euclidean_sim-median_reuse-pop,59.47,66.22,57.99,12.18
imp_players-set_ftrs-euclidean_sim-median_reuse-pop,58.87,66.99,57.13,12.68
imp_players-set_ftrs-euclidean_sim-median_reuse-pop-weighted,59.09,66.18,57.55,12.48
imp_players-text_ftrs-euclidean_sim-median_reuse-pop,57.91,65.87,56.21,11.97
imp_players-num_ftrs-euclidean_sim-first_reuse-pop,57.77,63.97,56.41,12.85
imp_players-set_ftrs-euclidean_sim-first_reuse-pop,57.59,64.22,56.14,12.61
imp_players-set_ftrs-euclidean_sim-first_reuse-pop-weighted,57.19,61.52,56.20,12.76
imp_players-text_ftrs-euclidean_sim-first_reuse-pop,55.66,62.40,54.19,12.45
imp_players-num_ftrs-cosine_sim-long_reuse,62.45,63.38,62.22,12.13
imp_players-set_ftrs-cosine_sim-long_reuse,62.55,62.45,62.57,11.85
imp_players-text_ftrs-cosine_sim-long_reuse,62.05,60.36,62.49,11.61
imp_players-num_ftrs-cosine_sim-median_reuse,56.75,67.72,54.54,13.34
imp_players-set_ftrs-cosine_sim-median_reuse,57.15,66.09,55.28,12.54
imp_players-text_ftrs-cosine_sim-median_reuse,58.00,66.05,56.29,11.99
imp_players-num_ftrs-cosine_sim-first_reuse,53.53,64.58,51.34,13.19
imp_players-set_ftrs-cosine_sim-first_reuse,55.19,64.32,53.30,12.79
imp_players-text_ftrs-cosine_sim-first_reuse,55.75,62.32,54.32,12.42
imp_players-num_ftrs-euclidean_sim-long_reuse,62.25,62.91,62.09,12.06
imp_players-set_ftrs-euclidean_sim-long_reuse,62.48,62.49,62.48,12.01
imp_players-text_ftrs-euclidean_sim-long_reuse,62.10,60.43,62.53,11.62
