,f2,prec,rec,dld
temp,46.50,68.89,43.00,6.09
cbr,41.20,60.62,38.14,15.55
ent,39.61,37.53,40.16,10.94
hir,48.11,50.59,47.53,11.27
mp,35.71,44.69,34.00,8.80
imp_players-num_ftrs-cosine_sim-long_reuse,52.33,44.92,54.58,11.98
imp_players-set_ftrs-cosine_sim-long_reuse,51.29,45.51,52.97,11.54
imp_players-text_ftrs-cosine_sim-long_reuse,48.36,43.33,49.80,11.35
imp_players-num_ftrs-cosine_sim-median_reuse,50.52,48.02,51.19,12.50
imp_players-set_ftrs-cosine_sim-median_reuse,45.74,46.59,45.54,11.70
imp_players-text_ftrs-cosine_sim-median_reuse,40.82,43.81,40.13,11.21
imp_players-num_ftrs-cosine_sim-first_reuse,47.80,45.56,48.40,12.22
imp_players-set_ftrs-cosine_sim-first_reuse,45.22,46.25,44.97,12.07
imp_players-text_ftrs-cosine_sim-first_reuse,41.26,42.92,40.87,11.72
imp_players-num_ftrs-euclidean_sim-long_reuse,51.38,44.30,53.52,11.76
imp_players-set_ftrs-euclidean_sim-long_reuse,52.48,46.33,54.28,11.98
imp_players-text_ftrs-euclidean_sim-long_reuse,48.31,43.30,49.75,11.38
imp_players-num_ftrs-euclidean_sim-median_reuse,49.74,47.26,50.41,12.26
imp_players-set_ftrs-euclidean_sim-median_reuse,49.19,47.82,49.55,12.39
imp_players-text_ftrs-euclidean_sim-median_reuse,41.03,44.06,40.34,11.29
imp_players-num_ftrs-euclidean_sim-first_reuse,47.21,45.31,47.71,12.14
imp_players-set_ftrs-euclidean_sim-first_reuse,47.75,46.95,47.96,12.14
imp_players-text_ftrs-euclidean_sim-first_reuse,40.98,42.73,40.56,11.63
all_players-num_ftrs-cosine_sim-long_reuse,48.19,43.39,49.57,11.26
all_players-num_ftrs-cosine_sim-median_reuse,40.19,43.79,39.38,11.47
all_players-num_ftrs-cosine_sim-first_reuse,42.12,43.51,41.79,11.38
all_players-num_ftrs-euclidean_sim-long_reuse,48.51,43.99,49.79,11.53
all_players-num_ftrs-euclidean_sim-median_reuse,39.60,43.47,38.74,11.68
all_players-num_ftrs-euclidean_sim-first_reuse,41.10,43.74,40.49,11.65
imp_players-num_ftrs-cosine_sim-long_reuse-pop,50.83,44.53,52.69,11.58
imp_players-set_ftrs-cosine_sim-long_reuse-pop,50.65,44.57,52.44,11.78
imp_players-text_ftrs-cosine_sim-long_reuse-pop,48.36,43.33,49.80,11.35
imp_players-num_ftrs-cosine_sim-median_reuse-pop,48.08,46.31,48.54,11.92
imp_players-set_ftrs-cosine_sim-median_reuse-pop,46.13,46.14,46.13,11.87
imp_players-text_ftrs-cosine_sim-median_reuse-pop,40.82,43.81,40.13,11.21
imp_players-num_ftrs-cosine_sim-first_reuse-pop,46.90,45.29,47.33,11.93
imp_players-set_ftrs-cosine_sim-first_reuse-pop,46.12,45.50,46.27,12.54
imp_players-text_ftrs-cosine_sim-first_reuse-pop,41.26,42.92,40.87,11.72
imp_players-num_ftrs-euclidean_sim-long_reuse-pop,50.17,43.89,52.03,11.81
imp_players-set_ftrs-euclidean_sim-long_reuse-pop,50.03,42.68,52.29,11.15
imp_players-text_ftrs-euclidean_sim-long_reuse-pop,48.31,43.30,49.75,11.38
imp_players-num_ftrs-euclidean_sim-median_reuse-pop,46.52,45.15,46.87,11.38
imp_players-set_ftrs-euclidean_sim-median_reuse-pop,50.25,46.82,51.19,12.20
imp_players-text_ftrs-euclidean_sim-median_reuse-pop,41.03,44.06,40.34,11.29
imp_players-num_ftrs-euclidean_sim-first_reuse-pop,45.83,44.56,46.16,12.19
imp_players-set_ftrs-euclidean_sim-first_reuse-pop,46.24,43.79,46.89,11.58
imp_players-text_ftrs-euclidean_sim-first_reuse-pop,40.98,42.73,40.56,11.63
