,f2,prec,rec,dld
temp,48.51,89.89,43.51,22.64
cbr,61.21,92.62,56.43,24.39
ent,79.35,88.46,77.35,16.85
hir,74.39,91.17,71.12,14.51
mp,57.72,91.36,52.86,18.49
imp_players-num_ftrs-cosine_sim-long_reuse,88.32,83.41,89.64,11.70
imp_players-set_ftrs-cosine_sim-long_reuse,86.63,83.75,87.38,11.52
imp_players-text_ftrs-cosine_sim-long_reuse,86.46,83.93,87.12,11.59
imp_players-num_ftrs-cosine_sim-median_reuse,82.16,84.71,81.55,12.03
imp_players-set_ftrs-cosine_sim-median_reuse,78.14,84.96,76.61,12.21
imp_players-text_ftrs-cosine_sim-median_reuse,76.10,86.38,73.90,11.96
imp_players-num_ftrs-cosine_sim-first_reuse,79.96,82.91,79.25,12.14
imp_players-set_ftrs-cosine_sim-first_reuse,75.80,83.47,74.10,12.47
imp_players-text_ftrs-cosine_sim-first_reuse,75.34,84.07,73.43,12.42
imp_players-num_ftrs-euclidean_sim-long_reuse,87.96,83.41,89.17,11.73
imp_players-set_ftrs-euclidean_sim-long_reuse,86.68,83.47,87.53,11.47
imp_players-text_ftrs-euclidean_sim-long_reuse,86.44,83.93,87.09,11.61
imp_players-num_ftrs-euclidean_sim-median_reuse,82.38,84.71,81.81,11.98
imp_players-set_ftrs-euclidean_sim-median_reuse,80.41,84.24,79.51,12.06
imp_players-text_ftrs-euclidean_sim-median_reuse,76.20,86.40,74.01,11.92
imp_players-num_ftrs-euclidean_sim-first_reuse,79.61,83.03,78.80,12.31
imp_players-set_ftrs-euclidean_sim-first_reuse,78.21,83.31,77.03,12.08
imp_players-text_ftrs-euclidean_sim-first_reuse,75.16,84.12,73.21,12.46
all_players-num_ftrs-cosine_sim-long_reuse,85.67,83.99,86.11,11.63
all_players-num_ftrs-cosine_sim-median_reuse,74.96,86.65,72.51,12.33
all_players-num_ftrs-cosine_sim-first_reuse,75.09,84.23,73.11,12.34
all_players-num_ftrs-euclidean_sim-long_reuse,85.64,84.29,85.99,11.69
all_players-num_ftrs-euclidean_sim-median_reuse,74.12,86.22,71.61,12.22
all_players-num_ftrs-euclidean_sim-first_reuse,73.26,84.34,70.93,12.59
imp_players-num_ftrs-cosine_sim-long_reuse-pop,86.50,82.34,87.61,11.64
imp_players-set_ftrs-cosine_sim-long_reuse-pop,86.02,83.04,86.79,11.76
imp_players-text_ftrs-cosine_sim-long_reuse-pop,6.97,6.76,7.02,0.52
imp_players-num_ftrs-cosine_sim-median_reuse-pop,81.16,84.41,80.38,12.05
imp_players-set_ftrs-cosine_sim-median_reuse-pop,78.80,85.58,77.26,12.17
imp_players-text_ftrs-cosine_sim-median_reuse-pop,6.50,7.38,6.31,0.67
imp_players-num_ftrs-cosine_sim-first_reuse-pop,79.03,82.23,78.27,12.32
imp_players-set_ftrs-cosine_sim-first_reuse-pop,77.55,83.28,76.24,12.52
imp_players-text_ftrs-cosine_sim-first_reuse-pop,6.10,6.81,5.94,0.61
imp_players-num_ftrs-euclidean_sim-long_reuse-pop,86.75,82.60,87.85,11.74
imp_players-set_ftrs-euclidean_sim-long_reuse-pop,87.71,81.74,89.34,11.26
imp_players-text_ftrs-euclidean_sim-long_reuse-pop,6.99,6.78,7.04,0.52
imp_players-num_ftrs-euclidean_sim-median_reuse-pop,81.23,84.65,80.41,11.68
imp_players-set_ftrs-euclidean_sim-median_reuse-pop,82.29,83.32,82.04,11.69
imp_players-text_ftrs-euclidean_sim-median_reuse-pop,6.50,7.37,6.31,0.63
imp_players-num_ftrs-euclidean_sim-first_reuse-pop,78.46,82.25,77.56,12.40
imp_players-set_ftrs-euclidean_sim-first_reuse-pop,79.85,81.76,79.39,11.89
imp_players-text_ftrs-euclidean_sim-first_reuse-pop,6.20,6.94,6.04,0.61
